2-Theta,SP_K_room,SP_Mg,SP_K_300,SP_K_550,SP_Mg_gly,WIN_K_room,WIN_Mg,WIN_K_300,WIN_K_550,WIN_Mg_gly
17.4,77,102,87.333,95.667,129.33,68.667,89,81.667,94,151
17.45,90.667,107.33,90.333,95.333,140.33,71.333,93,80.333,87,146
17.5,85.667,115.67,91.333,105,162.67,81.667,113.33,79,86,151.67
17.55,102,118.67,96,112.67,172,84.333,118.67,81.333,94.667,155.67
17.6,105.67,144,92.333,117.67,184,89,138.33,89.333,93.333,156.67
17.65,121.67,140.33,101.67,120.33,201.33,92.667,150.33,93.667,106,166.33
17.7,137,167.67,106.33,109.67,232.33,112.33,177.33,87.667,95.667,173.67
17.75,137,192.33,112.33,122.67,249.33,116.67,193.33,96,113.67,170.33
17.8,140.67,211.67,120,131.67,269.33,113.33,222,105.67,114.67,189.67
17.85,143,215,118.67,129,279,107,204,98,117,205.33
17.9,126.33,224.67,132,134,272.67,101.67,221,116,119,191.33
17.95,115,225.33,132,146.33,262.33,89,231.67,114,127.67,167.67
18,114,204,145.33,138.67,265.67,94,199.33,108.67,144,183.33
18.05,104.67,204.33,143.67,144.33,243.67,83,189,124.67,128,154.67
18.1,94.667,194.33,141.67,124.67,272.67,79,202.67,133.67,123.67,167.67
18.15,98,201.33,138,122.33,245.33,80,190.33,127.67,111,155.67
18.2,100.33,199.67,132.33,114.33,236.67,79.333,187,113.33,105,157.67
18.25,91.333,188.67,136,99,234,70,165,111.67,104.33,159
18.3,89,181.33,118,114,236,79,177,103.33,107.67,161.33
18.35,78.667,175.33,117.67,101.33,210.67,70,168.67,114.33,107,171
18.4,87,170.33,120.33,95,209.67,76.333,173.67,119.33,88.333,147.33
18.45,81.333,156,112.67,92.667,207.67,74.333,160.67,104.33,96.667,147.67
18.5,81.667,162.33,112,102.67,190.67,67.667,147.67,87,97.333,153.33
18.55,89.667,156.33,111.33,92,177,71.667,148,105.67,96,140.67
18.6,78,152.33,115,102.67,171.67,60.333,133.33,103,88,126.67
18.65,78.667,131.67,102.33,102.67,189.67,77,122,100.33,95.667,138.67
18.7,79.333,146,114.33,85.667,173,64,128,104,99.333,141.67
18.75,80,122.67,111.67,91.333,160,70.667,122.67,106.67,95,131
18.8,79.667,129.33,99,92.333,150,73.333,122.33,96,84.333,134.33
18.85,81,114.33,95,98.333,135.67,76,114,98.667,93.333,117
18.9,67,109,113.33,95.333,135.67,68,112.67,93.667,88.333,115.67
18.95,65.667,106,105.67,108.67,122,51,97,111,91.333,111.67
19,72,106,106,99.667,106,73.333,89,88.333,93.667,111.67
19.05,68.667,87.333,104.33,103,102.67,62.333,98,94.333,84.667,108.33
19.1,59,84,106.67,96,104.33,67,87.333,95.667,100,114
19.15,71.333,76,101,102,83.667,64.333,90.333,98.333,97,113
19.2,55.333,87.333,101,97,94.667,63,86,105,96.333,107.33
19.25,68.333,84.667,96.333,92,93.333,56.333,76,86.333,98,106.67
19.3,76.333,87.667,97.333,97,85.667,66,77.333,93,105,91.667
19.35,66.667,76,107,95.333,89.333,68.667,91,100.33,97,98.333
19.4,67,77.333,98.667,94,85,66.333,76.667,101.33,99.333,82.333
19.45,57,77,104.67,99.333,79.333,63.667,82,88.333,102.33,98
19.5,63.333,69.667,95.667,97.667,73.667,64.667,73.333,92.667,117.33,80.667
19.55,66,69,99.667,107,77.667,71.333,75.333,98.333,97.333,82.667
19.6,62,67.333,98.333,87.333,77,63.333,75.333,100.33,105,92.667
19.65,66.333,73,101,106,77.667,74.667,76,95.333,98.667,89.333
19.7,63.667,77.667,104.67,103.33,83.333,76,75.333,106.33,95.333,94
19.75,70.667,81,110,101.67,80.667,66.333,76,91,97.667,96.667
19.8,70.333,78,102.67,110,75.667,62.667,76.333,107,101,84.333
19.85,68.667,75.667,104.67,113,86.333,71.667,75,106,106.33,91
19.9,63,77.333,106.67,113,70.667,82,71.333,103,106,86
19.95,65.667,72.667,103.33,109.67,76.333,64.333,71.667,111,113.33,86.333
20,63.667,71.333,105,120,74,67,70.667,109.67,110.33,90.333
20.05,68.333,76.667,97.667,117,78.667,73,65,109.67,111.67,91
20.1,58,73,100.67,109,80,79,76.667,115.67,123.33,78.333
20.15,63,74.667,119,96,73,59.667,66.667,108.33,105.67,86.333
20.2,60.667,80.333,110.67,115.67,72,63.333,70,108.67,109,78.667
20.25,63.333,73.667,106,103.67,79,70,76.667,112.33,116.33,80
20.3,64.667,66.333,107.33,114.33,71.667,65.667,67.667,104.67,114.67,79.333
20.35,64.667,72.667,109.33,109.67,86,68.333,62.667,116,113.33,74
20.4,63.667,68.667,112.33,104.33,69.333,63.667,68.333,105.67,116.33,87.333
20.45,64.667,71.667,116.67,96.333,73.667,64,69.333,112,97.667,78
20.5,65.667,76.333,101,109,67,61,71,112.67,114,76.667
20.55,60.333,72,123,119.33,76,62.667,73.333,114,115.33,81.333
20.6,70.333,71.333,110.33,119.33,68.667,67.667,67,113.33,107,82.667
20.65,69,65,104.67,97,70.667,67,70.333,110.67,105.33,74.333
20.7,67.333,72.333,100.33,103.33,80,65.667,69.667,116,97,78.667
20.75,64,70,117,103.33,76.333,77.667,83,102,118.33,78.333
20.8,76.333,81,105,107,83.333,91,100,108,112,106.33
20.85,108,102,114.67,117.67,111.67,118,138.33,96.667,111,125.33
20.9,104.33,94.333,119,102.67,100,110.33,111.33,119.33,112,117.33
20.95,77,84.667,111.33,127.67,71.667,78.333,77.667,108,117.33,86.667
21,80.333,80.333,121.33,133,69.333,73.667,82.667,120.67,128.33,81
21.05,63,76.333,130.67,120,72.667,59.333,69.667,124.33,122.67,88
21.1,70.667,77.333,140,139.67,75.667,73.333,67.333,139,150.33,76
21.15,69.667,68,118.33,128.67,75.667,67.667,70.333,136.67,143,77.333
21.2,68.667,61.333,127,124.33,78.667,66.333,77.333,140.33,120.33,75
21.25,78,69.333,123.67,112.67,70.667,67.333,71.333,126.67,115.67,69.333
21.3,69.667,80.333,123,113.33,73.333,65.667,70.667,109.33,126,83
21.35,65.667,79.333,109.33,116.33,75.333,68.667,71.667,112.67,115,67.667
21.4,68,69,116.67,107.33,82,64.333,69,109.33,122.33,74.667
21.45,73,61,114.67,112.67,73.333,63.667,73.667,101.67,110.33,73.333
21.5,65.667,71.667,124.33,113.33,85,75.667,67.667,99.667,115.33,68.667
21.55,75,71.333,116.33,116.67,73,70.333,82.667,109.33,128,78
21.6,61,76.333,106,113.67,73.333,63.667,74,123.33,112.67,78.333
21.65,74.667,75,110.67,119.67,71.667,66.333,69.667,116,106.33,69.667
21.7,65,76.333,114.67,111.33,66,75,71.667,120.67,122.67,72.333
21.75,66.667,66.667,109,123.67,70.667,68.667,65.667,105,113.67,77.333
21.8,75,74.333,89.667,117.67,69.667,66,71.667,104.67,118.33,82
21.85,66.333,73.667,109,110.33,72,67,63.667,108,103.33,66.667
21.9,76.667,78.333,111.33,112.67,64.667,71,63,107.67,118,73
21.95,64.667,87,102.67,108.67,68.333,68,84.333,115,111.33,70
22,65.333,75.667,107.67,108,71,71.333,69.667,105.33,113.67,64.667
22.05,70.667,72,119,106.33,73.333,67,75.667,115.67,108,73.667
22.1,66.333,79.333,112.33,98.333,75.333,70.333,66.667,113.33,107.67,72
22.15,60.333,70.667,112.67,105.67,66.333,68.667,82.333,101,103.67,84
22.2,71.333,68.333,101.67,98.667,63.667,73.333,71,106.67,106.33,82.333
22.25,71.667,68.667,117,102.67,73,67,76.333,107.67,110.67,74.333
22.3,64.333,70.667,106,119,79,71,79.667,108.33,109,70.333
22.35,76.667,82.333,103.33,111.67,76.333,68,70.667,110,106,80
22.4,70,81.667,110.33,103.33,69.667,67.333,76.667,103,102.67,76
22.45,71.333,72,107.33,108.67,70,64,72.667,111,111.33,76
22.5,74,82,114.67,109.33,76,72.667,68,99.333,106,70
22.55,72.333,78.667,108.67,111,76,67.667,75.667,104.33,108.67,68
22.6,70.333,79,115.33,112,81.667,68,72.667,109.67,100.33,79.667
22.65,66.333,80.333,119,111.67,79.667,73.667,72.333,105,102.67,72
22.7,71,71.667,113.67,112.33,79,74.667,68.333,101.67,109,67
22.75,72.333,69,97.333,110.33,83,65,67.667,104.67,103.67,67.667
22.8,72.667,76.333,104,113.33,72,66.333,81,107.67,103.33,76
22.85,61,73,105.33,104.33,83,66.333,77,114,106.67,77
22.9,75.333,80.667,103.67,106.67,74.333,73,70.667,111,104,77.667
22.95,74.667,67.667,118.33,110.33,72.333,79,67.667,104,107.33,75.333
23,75.667,72.333,101,114.33,72.667,68,75,103.33,115,68.667
