SampleID,Date,Study_day,ADH,ADD,ARF_sector,Sorting1,Sorting,Treatment,Gravimetric,pH,EC,  Na (ug/gdw soil) ,  K (ug/gdw soil) ,  mg (ug/gdw soil) ,  Ca (ug/gdw soil) ,  Al (ug/gdw soil) ,  Cu (ug/gdw soil) ,  Fe (ug/gdw soil) ,  Mn (ug/gdw soil) ,  Zn (ug/gdw soil) ,  Co (ug/gdw soil) ,  S180 (ug/gdw soil) ,  P (ug/gdw soil) ,  B (ug/gdw soil) ,  Se (ug/gdw soil) ,  S182 (ug/gdw soil) ,  Na (umolcharge/gdw soil) ,  K (umolcharge/gdw soil) ,  Mg (umolcharge/gdw soil) ,  Ca (umolcharge/gdw soil) 
D3_F_con_28Apr2021,44314,19,6570,273.7,3_F,a_con,h_4.28,D3_con,0.411698421,6.94,80.895,2.442706421,23.55771456,4.641842326,116.2382935,14.95331336,0.073071699,2.860431587,1.39007582,0.054663935,0.010510447,6.502060925,0.626019845,0.552231206,0.002231275,5.180089856,0.106251886,0.60252529,0.381966042,5.8006035
D3_F_gr_28Apr2021,44314,19,6570,273.7,3_F,i_4.28,h_4.28,D3_grave,0.319616337,6.905,82.845,32.99670979,32.79985763,26.6196021,272.408385,0.240224001,0.033352842,0.122987683,8.759830298,1.159568657,0.007010675,12.99123616,2.427486042,0.401784545,0.039054955,10.12665341,1.435277943,0.838907513,2.19046304,13.59391112
D3_J_con_30Apr2021,44316,21,7586,316.1,1_J,a_con,i_4.30,D3_con,0.403478058,7.295,62.01,1.95882669,38.39985853,10.24174666,149.0719756,8.780932369,0.034968647,1.997342437,0.491188417,0.041047399,-0.000118096,6.151548126,1.310715821,0.504625852,0.00533289,4.60901494,0.085204275,0.98213627,0.842768702,7.439092548
D3_J_gr_30Apr2021,44316,21,7586,316.1,1_J,j_4.30,i_4.30,D3_grave,0.474699301,6.63,449.5,323.1873628,99.22642006,25.09407616,377.9128848,2.230019956,0.052669248,1.433565252,3.259318529,0.055885887,0.003399445,27.93249757,9.062245738,1.231066262,0.051480926,23.44930595,14.05787717,2.537870446,2.064931179,18.85886945
D3_H_con_30Apr2021,44316,21,7586,316.1,2_H,a_con,i_4.30,D3_con,0.303699206,7.27,61.685,3.038886484,15.73001432,6.186130271,107.5280403,11.48518505,0.034308763,3.574654346,0.53230374,0.036376809,0.003555577,4.754337018,0.686256359,0.229333195,-0.011214245,3.611250855,0.132184293,0.402319649,0.509041783,5.365938433
D3_H_gr_30Apr2021,44316,21,7586,316.1,2_H,j_4.30,i_4.30,D3_grave,0.21756383,7.27,291.85,70.13113925,33.92696779,5.934858898,78.760062,10.60493889,0.064233939,5.843614231,0.73908313,0.052485672,0.010183447,20.99175846,0.765931769,0.122833379,-0.008302526,19.09242364,3.050536793,0.867735114,0.488365266,3.930338939
D3_F_con_30Apr2021,44316,21,7586,316.1,3_F,a_con,i_4.30,D3_con,0.319372824,7.25,197.42,1.231741262,8.117072247,2.630069102,68.45163001,10.7235273,0.061624206,1.87589781,1.126688285,0.038356117,0.007116549,3.619581285,0.410256066,0.289925599,-0.006571599,2.851472453,0.053577798,0.207606782,0.216422061,3.415920456
D3_F_gr_30Apr2021,44316,21,7586,316.1,3_F,j_4.30,i_4.30,D3_grave,0.297175845,6.44,93.095,22.29804307,24.16269813,18.67871601,181.6497834,0.653024498,0.027682443,0.252131686,10.66354546,0.062699065,0.009517599,10.77153365,1.406588775,0.255233512,0.014520437,8.644544477,0.969911533,0.617998689,1.537026621,9.064812787
D3_J_1_CON_7May2021,44323,28,10547,439.4,1_J,a_con,j_5.7,D3_con,0.679551174,7.26,49.825,1.881428197,48.78767123,11.135742,168.8864153,8.321911037,0.044146883,1.964717101,0.406980238,0.04047365,0.000246822,7.624028756,1.917387316,0.685606093,-0.000513442,5.814066753,0.081837626,1.247820781,0.916333429,8.427886386
D3_J_1_GR_7May2021,44323,28,10547,439.4,1_J,k_5.7,j_5.7,D3_grave,0.678056565,6.11,320.15,198.4984492,175.3611067,37.19657276,473.109744,2.640722284,0.070498719,1.73192546,18.28442295,0.162078629,0.012368144,30.20842219,33.99737214,2.073559399,0.059120711,24.77119723,8.634207703,4.485133796,3.06081652,23.60944877
D3_H_2_CON_7May2021,44323,28,10547,439.4,2_H,a_con,j_5.7,D3_con,0.364997797,7.335,43.815,2.685967484,17.95270984,5.459044388,95.0597394,11.54454946,0.035655116,3.939736037,0.534385915,0.037300855,0.00468296,5.095884471,0.521654328,0.271681969,0.016951788,4.0353426,0.11683316,0.459168553,0.449211634,4.743736684
D3_H_2_GR_7May2021,44323,28,10547,439.4,2_H,k_5.7,j_5.7,D3_grave,0.280561105,6.88,180,55.01927933,24.99587125,6.673178898,100.8835693,1.117340991,0.037850698,0.575881857,0.037729334,0.079282884,0.003139691,15.9360525,0.529668711,0.176231969,0.019971749,14.10789438,2.393207037,0.639308391,0.549119844,5.03436146
D3_F_3_CON_7May2021,44323,28,10547,439.4,3_F,a_con,j_5.7,D3_con,0.372756938,7.23,108.95,1.790354896,24.91991964,4.806070523,114.8526594,11.71242495,0.088373814,2.307818346,1.156271089,0.036546267,0.028342077,6.22012801,0.468517384,0.337962128,0.020196009,4.941684554,0.077876155,0.63736581,0.395479985,5.73145663
D3_F_3_GR_7May2021,44323,28,10547,439.4,3_F,k_5.7,j_5.7,D3_grave,0.31554384,6.25,379.3,80.57157281,75.5331532,35.33269693,317.2219938,0.387980124,0.044120501,0.374594344,33.06444669,0.129052664,0.044336247,27.82165009,3.907099427,0.408997888,0.048045461,23.88138654,3.504670678,1.931878194,2.907442661,15.83023074
D3_J_con_12May2021,44328,33,12394,516.4,1_J,a_con,k_5.12,D3_con,0.644472302,7.34,72.86,2.172030405,46.50164172,11.25138475,166.6920455,9.715946145,0.047898464,2.176802273,0.473842462,0.047104445,0.00065215,7.08825706,1.471735432,0.615005577,0.017177798,5.326300388,0.094478127,1.189352011,0.925849393,8.318381433
